society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,BHK,Location,Total Floors,Servant_Room,Study_Room,Pooja_Room,Store_Room,Carpet_Area,Built_Up_Area,Super_BuiltUp_Area,piped_gas,waste_disposal,shopping_centre,intercom,power_backup,central_ac,wifi,garden,community,staff,water_storage,visitor_parking,lift,vaastu,security,swimming,gym,luxury_score,Hospital,Mall,Mandir/Church,ATM,Bank,School,College,Metro Station,Airport,Hotel,AC,Wardrobe,Microwave,Fridge,Stove,Curtains,Water Purifier,TV,Modular Kitchen,Geyser,Dining Table,Washing Machine,Exhaust Fan,Chimney,Light,Sofa,Fan,Bed,furnishing_type,area
MM Merlin,339.0,14376.0,3.0,4.0,3.0,14.0,East,Relatively New,3, Sector 67 Gurgaon,21.0,1,0,0,0,2000.0,2100.0,2358.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,15,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.023580968
DLF The Skycourt,154.0,9221.0,3.0,3.0,3.0,15.0,North-West,Relatively New,3, Sector 86 Gurgaon,19.0,1,0,0,0,1670.0,1780.0,1929.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016701009
DLF Regency Park ,225.0,14516.0,3.0,3.0,2.0,16.0,West,Old Property,3, DLF Phase 4,20.0,1,0,0,0,1550.0,1700.0,1777.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,36,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015500138
Ireo Victory Valley,350.0,14583.0,3.0,4.0,3.0,24.0,North-East,Relatively New,3, Sector 67 Gurgaon,51.0,1,0,1,0,2400.0,2490.0,2698.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0.024000549
DLF The Skycourt,150.0,9740.0,3.0,3.0,3.0,18.0,West,Relatively New,3, Sector 86 Gurgaon,19.0,0,1,0,0,1540.0,1780.0,1929.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015400411
Orchid Petals,255.0,12318.0,3.0,4.0,3.0,8.0,East,Relatively New,3, Sector 49 Gurgaon,14.0,0,1,0,0,1760.0,2060.0,2070.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,4,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,2,0.020701413
DLF The Skycourt,156.0,8087.0,3.0,4.0,3.0,17.0,South-West,Relatively New,3, Sector 86 Gurgaon,19.0,0,0,0,1,1450.0,1580.0,1929.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019290219
DLF Regency Park ,226.0,13696.0,3.0,3.0,2.0,19.0,East,Old Property,3, DLF Phase 4,20.0,1,0,0,0,1650.0,1700.0,1777.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,46,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016501168
Ireo Victory Valley,299.0,11832.0,3.0,3.0,3.0,4.0,East,Relatively New,3, Sector 67 Gurgaon,11.0,1,0,0,0,2100.0,2200.0,2527.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,21,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.025270453
Orris Carnation Residency,72.0,4881.0,3.0,3.0,2.0,9.0,West,Moderately Old,3, Sector 85 Gurgaon,12.0,0,0,0,0,1250.0,1350.0,1475.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014751076
DLF The Ultima,234.0,11185.0,3.0,4.0,3.0,14.0,South-East,Relatively New,3, Sector 81 Gurgaon,29.0,1,0,0,0,1670.0,1760.0,2092.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5,3,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0.020920876
La Lagune,675.0,21360.0,4.0,6.0,3.0,11.0,East,Moderately Old,4, Sector 54 Gurgaon,18.0,1,0,0,0,2240.0,2455.0,3160.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,6,5,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,2,0.031601124
MM Skywalk,225.0,12500.0,3.0,3.0,3.0,5.0,North-East,Relatively New,3, Sector 74 Gurgaon,30.0,0,1,0,0,1800.0,1900.0,2000.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018
DLF Regal Gardens,176.0,7945.0,4.0,4.0,3.0,8.0,North,Relatively New,4, Sector 90 Gurgaon,29.0,0,0,0,0,1670.0,2020.0,2215.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0.022152297
Paras Dews,100.0,7220.0,2.0,2.0,3.0,2.0,North-East,New Property,2, Sector 106 Gurgaon,8.0,0,0,0,0,845.0,940.0,1385.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0.013850416
Ireo Skyon,282.0,12818.0,3.0,3.0,3.0,2.0,South-East,Relatively New,3, Sector 60 Gurgaon,12.0,1,0,0,0,2200.0,2400.0,2403.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5,3,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2,0.022000312
Tata Primanti,321.0,16050.0,3.0,4.0,3.0,15.0,North-East,Relatively New,3, Sector 72 Gurgaon,40.0,1,0,0,0,2000.0,2140.0,2185.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,5,0,0,0,1,1,0,1,4,0,0,0,0,0,0,0,0,2,0.02
Tulip Purple,180.0,9000.0,4.0,5.0,3.0,4.0,North-East,Relatively New,4, Sector 69 Gurgaon,12.0,1,0,0,0,2000.0,2200.0,2400.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.02
Ireo Skyon,265.0,13125.0,3.0,4.0,3.0,7.0,North-East,Moderately Old,3, Sector 60 Gurgaon,12.0,1,0,0,0,2019.0,2037.0,2045.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,52,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,3,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,2,0.020190476
Orris Carnation Residency,54.99,5788.0,2.0,2.0,2.0,5.0,North-East,Relatively New,2, Sector 85 Gurgaon,12.0,0,0,0,0,950.0,1050.0,1115.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009500691
Parsvnath Green Ville,160.0,8376.0,3.0,3.0,3.0,8.0,North,Old Property,3, Sector 48 Gurgaon,11.0,0,0,0,0,1800.0,1895.0,1910.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0.019102197
Emaar MGF The Palm Drive,299.0,14950.0,3.0,3.0,3.0,7.0,East,Relatively New,3, Sector 66 Gurgaon,17.0,1,0,0,0,1500.0,1800.0,2000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0.02
DLF Regal Gardens,130.0,7150.0,3.0,3.0,3.0,7.0,South,Relatively New,3, Sector 90 Gurgaon,29.0,0,0,0,0,1400.0,1700.0,1818.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018181818
MM Skywalk,155.0,13790.0,2.0,2.0,3.0,18.0,South,Relatively New,2, Sector 74 Gurgaon,30.0,0,0,0,0,1124.0,1300.0,1406.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011240029
MM Skywalk,154.0,10814.0,2.0,2.0,3.0,15.0,South-East,Relatively New,2, Sector 74 Gurgaon,30.0,0,0,0,0,1139.0,1200.0,1424.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014240799
