Model Name,Train Score,Test Score
logistic_regression,0.987,0.982
neural_network,1.0,0.982
random_forest,1.0,0.971
xgboost,1.0,0.971
svm,0.987,0.971
knn,0.977,0.959
gradient_boosting,1.0,0.959
decision_tree,1.0,0.942
naive_bayes,0.942,0.936
