society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,BHK,Location,Total Floors,Servant_Room,Study_Room,Pooja_Room,Store_Room,Carpet_Area,Built_Up_Area,Super_BuiltUp_Area,piped_gas,waste_disposal,shopping_centre,intercom,power_backup,central_ac,wifi,garden,community,staff,water_storage,visitor_parking,lift,vaastu,security,swimming,gym,luxury_score,Hospital,Mall,Mandir/Church,ATM,Bank,School,College,Metro Station,Airport,Hotel,AC,Wardrobe,Microwave,Fridge,Stove,Curtains,Water Purifier,TV,Modular Kitchen,Geyser,Dining Table,Washing Machine,Exhaust Fan,Chimney,Light,Sofa,Fan,Bed,furnishing_type,area
BPTP Terra,198,9036,3,3,3,12,North-East,New Property,3, Sector 37D Gurgaon,23,0,1,0,0,,,2191,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,28,1,1,0,0,0,1,0,0,1,0,6,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.021912351
Experion Windchants,250,13888,2,2,3,10,East,Relatively New,2, Sector 112 Gurgaon,28,0,1,1,0,1800,1939.03,2441,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,62,1,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0.018001152
Emaar MGF Emerald Floors Premier,229,13878,3,4,3,2,West,Relatively New,3, Sector 65 Gurgaon,5,1,1,0,0,1650,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0.016500937
MM Merlin,298,14557,3,3,3,0,North,Relatively New,3, Sector 67 Gurgaon,21,0,0,0,0,,,2047,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,28,1,1,0,0,0,1,0,0,1,1,5,5,0,0,1,8,0,0,1,4,0,0,0,0,0,0,0,0,2,0.020471251
Emaar Palm Gardens,135,12325,3,3,3,7,South-West,Relatively New,3, Sector 83 Gurgaon,16,1,0,0,0,1095.3,,1720,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,9,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010953347
Shri Banke Bihari Society,137,9133,3,3,3,2,North-East,Old Property,3, Sector 56 Gurgaon,9,0,0,0,0,1400,1450,1500,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,62,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015000547
Kiran Residency,155,7750,3,3,3,5,North,Old Property,3, Sector 56 Gurgaon,9,1,0,1,0,1700,1800,2000,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,53,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02
Ambience Lagoon,425,13281,3,4,3,3,North-East,Old Property,3, DLF Phase 3,9,1,0,1,0,3156,,3200,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,53,1,0,1,1,1,0,0,1,0,1,5,4,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0.032000602
Vatika The Seven Lamps,128,6819,3,3,3,3,North,Relatively New,3, Sector 82 Gurgaon,16,0,1,0,0,1500,1800,1877,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,53,1,1,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0.018771081
Shapoorji Pallonji Joyville Gurugram,195,17285,3,3,3,12,North-East,New Property,3, Sector 102 Gurgaon,26,0,0,0,1,1128.09,,1852,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,47,1,1,0,0,0,1,1,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011281458
Bestech Park View Grand Spa,235,8834,3,4,3,6,North-East,Relatively New,3, Sector 81 Gurgaon,19,1,0,0,0,2356,,2660,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,53,1,1,0,0,0,1,0,0,1,0,6,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.026601766
MM Golfestate,500,18518,3,3,3,28,North-East,Relatively New,3, Sector 65 Gurgaon,30,1,0,1,0,2700,2800,2979,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,62,1,1,0,0,0,1,1,1,1,0,4,3,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,2,0.027000756
Imperia The Esfera,99,5500,3,3,1,10,North-East,New Property,3, Sector 37C Gurgaon,24,1,0,0,0,,,1815,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,28,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018
DLF New Town Heights ,195,7150,4,4,3,24,North-East,Relatively New,4, Sector 90 Gurgaon,27,1,0,0,1,2200,,2727,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027272727
Bestech Park View Grand Spa,330,12222,4,5,3,4,North-East,Relatively New,4, Sector 81 Gurgaon,20,1,1,0,0,2700,,3470,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,62,1,1,0,0,0,1,0,0,1,0,0,4,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,2,0.027000491
Ireo Victory Valley,475,13929,4,4,3,0,West,Relatively New,4, Sector 67 Gurgaon,51,1,1,1,1,3100,3200,3410,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62,1,1,0,0,0,1,0,0,1,1,4,3,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,2,0.034101515
MM Skywalk,150,12500,2,2,3,17,North-East,Relatively New,2, Sector 74 Gurgaon,30,0,0,0,1,1200,1300,1400,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,62,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012
DLF New Town Heights ,154,6514,4,4,3,12,South-West,Moderately Old,4, Sector 90 Gurgaon,19,1,0,1,0,1850,2200,2364,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,53,1,0,0,0,0,1,0,0,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0.023641388
DLF New Town Heights ,127,6580,3,4,3,19,South-West,Relatively New,3, Sector 86 Gurgaon,22,1,0,1,0,1450,1800,1930,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,53,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019300912
DLF Regal Gardens,117,6708,3,3,3,15,North,Relatively New,3, Sector 90 Gurgaon,19,0,0,0,0,1290,1630,1744,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,53,1,0,0,1,1,1,0,0,0,0,5,3,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,2,0.01744186
DLF The Primus,180,13846,3,3,3,10,North-East,Relatively New,3, Sector 82A Gurgaon,32,1,0,0,0,1300,,1818,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,62,1,0,0,0,0,0,0,0,1,0,4,3,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0.013000144
Ansal Housing Highland Park,80,5878,2,2,3,3,East,New Property,2, Sector 103 Gurgaon,19,0,0,1,0,705,1089,1361,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.013610071
Bestech Park View City,176,9909,3,3,3,9,South,Moderately Old,3, Sector 48 Gurgaon,14,1,0,1,0,1476,1576,1776,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,62,1,1,0,1,1,1,0,0,1,0,0,3,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,2,0.017761631
Conscient Heritage Max,222,13875,3,4,3,15,East,Relatively New,3, Sector 102 Gurgaon,25,1,1,0,0,1600,2000,2149,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,37,0,1,0,0,0,1,1,1,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.016
DLF Regency Park ,124,12400,2,2,3,19,South,Moderately Old,2, DLF Phase 4,26,0,0,1,0,1000,1050,1150,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,62,1,0,1,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0.01
Godrej ,112,7146,2,2,3,6,North-East,Relatively New,2, Sector 79 Gurgaon,15,0,1,0,0,1200,1325,1572,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,28,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015673104
Adani MK Oyster Grande,190,14074,3,4,3,21,,Relatively New,3, Sector 102 Gurgaon,24,1,0,0,0,1350,,1889,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,34,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.013500071
DLF Regency Park ,135,11739,2,2,2,14,East,Old Property,2, DLF Phase 4,26,0,0,0,1,1050,1120,1150,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,33,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011500128
ATS Kocoon,222,10596,3,3,3,20,East,Relatively New,3, Sector 109 Gurgaon,26,1,0,0,0,,,2095,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,47,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020951302
Experion The Heartsong,90,7014,2,3,3,7,East,Relatively New,2, Sector 108 Gurgaon,14,1,0,0,0,,,1283,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,37,1,1,0,0,0,1,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.01283148
ATS Tourmaline,175,8139,3,4,3,2,North,Relatively New,3, Sector 109 Gurgaon,27,1,0,0,0,,,2150,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,37,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021501413
Orris Aster Court,66.99,5825,2,2,2,5,North-West,Relatively New,2, Sector 85 Gurgaon,12,0,0,0,0,1150,1250,1375,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,62,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0.011500429
Ireo Victory Valley,295,12110,3,3,3,14,South,Moderately Old,3, Sector 67 Gurgaon,51,1,0,1,0,2036,2236,2436,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62,1,1,0,0,0,1,0,0,1,1,0,3,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,2,0.024360033
Pioneer Park,204,14623,3,3,3,16,South,Moderately Old,3, Sector 61 Gurgaon,32,1,0,0,0,1395,1595,1795,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,62,1,0,0,0,0,1,1,0,1,1,0,3,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0.013950626
Alpha Corp GurgaonOne ,224,6523,4,4,3,12,West,Relatively New,4, Sector 84 Gurgaon,26,1,0,0,0,2900,,3434,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,22,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034340028
Godrej Icon,131,8100,2,2,3,3,North-West,Relatively New,2, Sector 88A Gurgaon,32,0,1,0,0,,,1617,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,47,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01617284
Emaar MGF Emerald Estate,170,21013,3,3,3,7,South-East,Relatively New,3, Sector 65 Gurgaon,12,0,1,0,0,809,,1395,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,53,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0.00809023
Vatika Gurgaon ,119,7437,3,3,2,10,South,Relatively New,3, Sector 83 Gurgaon,18,1,0,0,0,1600,,,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,14,0,1,0,0,0,1,1,1,1,0,0,3,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,2,0.016001076
Emaar Palm Heights,175,11666,3,3,3,11,South-West,Relatively New,3, Sector 77 Gurgaon,24,1,0,0,0,1500,1900,2025,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,56,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015000857
Vatika Gurgaon ,112,6455,3,3,2,17,South,Moderately Old,3, Sector 83 Gurgaon,18,0,0,0,0,1400,1500,1735,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,53,0,1,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0.017350891
Green Campus CHS,92,4022,3,3,3,8,East,Moderately Old,3, Sector 1A IMT Manesar,12,1,0,0,0,1600,,2287,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022874192
Green Campus CHS,90,3935,3,3,3,6,North-East,Moderately Old,3, Sector 1A IMT Manesar,12,1,0,0,0,,,2287,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022871665
Puri Emerald Bay,230,9387,3,4,3,10,North-East,Moderately Old,3, Sector 104 Gurgaon,29,1,0,0,0,,,2450,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,43,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024501971
Puri Emerald Bay,158,9117,2,3,3,11,North-East,Relatively New,2, Sector 104 Gurgaon,29,1,0,0,0,,,1700,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,43,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017330262
Indiabulls Enigma,425,10953,5,5,3,4,East,Relatively New,5, Sector 110 Gurgaon,15,1,0,0,0,,,3880,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,43,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038802155
Bestech Park View Sanskruti,168,11052,3,4,3,15,East,Relatively New,3, Sector 92 Gurgaon,20,1,0,0,0,1520,,2120,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,62,1,1,0,0,0,1,0,0,1,0,5,5,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0.015200869
Ireo Victory Valley,455,14536,4,4,3,19,South,Relatively New,4, Sector 67 Gurgaon,39,1,0,0,0,,,3130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62,1,1,0,0,0,1,0,0,1,1,5,4,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,2,0.031301596
Bestech Park View Spa Next,285,12127,4,4,3,5,South,Moderately Old,4, Sector 67 Gurgaon,14,1,0,1,0,,,2350,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62,1,1,0,0,0,1,1,0,1,1,6,4,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,2,0.023501278
Bestech Park View Spa Next,235,12144,3,4,3,14,South-West,Moderately Old,3, Sector 67 Gurgaon,14,1,0,0,0,,,1935,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62,1,1,0,0,0,1,1,0,1,1,4,3,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,2,0.01935112
DLF The Ultima,230,10994,3,4,3,6,East,New Property,3, Sector 81 Gurgaon,30,1,0,0,0,,,2092,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,62,1,0,0,0,0,1,1,1,1,0,5,4,1,1,1,1,0,0,1,7,0,0,0,0,0,0,0,0,1,0.020920502
DLF The Ultima,226,10761,3,4,3,17,West,New Property,3, Sector 81 Gurgaon,29,1,0,0,0,,,2100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62,1,0,0,0,0,1,1,1,1,0,5,4,1,1,1,1,0,0,1,4,0,0,0,0,0,0,0,0,1,0.021001766
Ambience Creacions,478,15469,3,4,3,7,West,Relatively New,3, Sector 22 Gurgaon,18,1,0,0,0,2250,2500,3090,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,46,1,1,0,0,0,1,1,0,1,0,0,3,1,1,1,0,1,0,1,3,0,0,0,0,0,0,0,0,1,0.030900511
Tulip Ivory,200,8333,4,5,3,7,North-East,Moderately Old,4, Sector 70 Gurgaon,12,1,0,0,0,1950,,2400,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62,1,1,0,0,0,1,0,0,1,1,0,4,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,2,0.02400096
Ireo Skyon,375,13392,4,4,3,12,North,Relatively New,4, Sector 60 Gurgaon,39,1,0,0,0,2350,2650,2800,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,28,1,0,0,0,0,1,0,0,1,0,5,4,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,2,0.028001792
Ambience Creacions,616,20533,4,5,3,10,South-East,New Property,4, Sector 22 Gurgaon,20,1,0,1,0,3000,,,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,28,1,1,0,0,0,1,1,0,1,0,0,4,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0.030000487
MM Golfestate,530,24211,3,3,3,38,North-East,Moderately Old,3, Sector 65 Gurgaon,40,1,0,0,0,2189,,2850,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,28,1,1,0,0,0,1,1,1,1,0,6,3,1,1,1,7,0,0,1,4,0,0,0,0,0,0,0,0,1,0.021890876
Umang Winter Hills,75,5588,2,2,2,8,South,Relatively New,2, Sector 77 Gurgaon,18,0,0,0,1,969,1140,1342,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,53,1,1,0,0,0,1,1,0,1,0,3,2,0,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,2,0.013421618
Mapsko Mount Ville,125,8389,3,3,3,18,South,Relatively New,3, Sector 79 Gurgaon,30,0,1,0,0,863.91,1058,1490,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,53,0,1,0,0,0,1,1,1,1,0,4,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.014900465
Godrej ,200,8474,3,4,3,9,East,Relatively New,3, Sector 79 Gurgaon,15,1,0,0,0,1629,1963,2366,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,53,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023601605
Mapsko Mount Ville,130,8724,3,3,3,19,East,Relatively New,3, Sector 79 Gurgaon,30,0,0,0,1,863.91,1176,1490,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,53,0,1,0,0,0,1,1,1,1,0,4,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.014901421
City Heights,175,8750,3,4,3,3,,Old Property,3, Sector 39 Gurgaon,12,1,0,0,0,2000,,,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,20,1,0,0,1,1,1,0,0,0,1,1,3,1,1,1,5,1,1,1,3,1,0,0,0,0,0,0,0,1,0.02
KW Royal Court,200,6250,5,4,3,9,East,Old Property,5, Sector 39 Gurgaon,12,1,0,0,0,3200,,,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,28,1,0,0,1,1,1,0,0,0,1,6,5,1,1,1,9,1,1,1,5,1,0,0,0,0,0,0,0,1,0.032
Shree Vardhman Victoria,178,9128,3,3,3,7,North-East,Relatively New,3, Sector 70 Gurgaon,13,1,0,0,0,,,1950,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,28,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.019500438
Alpha Corp GurgaonOne ,115,7496,2,2,3,14,South-East,Relatively New,2, Sector 84 Gurgaon,26,0,1,0,0,1260,,1534,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,22,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015341515
CGHS Airport Apartment,165,7857,3,3,3,1,North-East,Old Property,3, Sector 47 Gurgaon,10,0,0,0,0,1720,,2100,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,37,1,0,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0.021000382
GLS Avenue ,21,6953,1,1,1,0,South-East,Relatively New,1, Sector 92 Gurgaon,12,0,0,0,0,302,,,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003020279
Kamroon Court,275,13750,3,4,3,5,North-East,Moderately Old,3, Sector 43 Gurgaon,12,1,0,0,0,2000,,,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,28,1,0,1,1,1,1,0,1,0,1,3,3,1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,1,0.02
Bestech Park View Spa Next,272,11574,4,4,3,0,South-West,Relatively New,4, Sector 67 Gurgaon,14,1,0,1,0,2001,2250,2350,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,49,1,1,0,0,0,1,1,0,1,1,5,4,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,2,0.02350095
Unitech Uniworld Gardens,240,11505,3,4,3,10,East,Moderately Old,3, Sector 47 Gurgaon,19,1,0,0,0,1750,,2086,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,40,1,0,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.020860495
Tata Primanti,410,13725,3,3,3,8,,Moderately Old,3, Sector 72 Gurgaon,40,1,0,0,0,,,2550,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,27,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029872495
CHD Avenue ,112,6215,3,4,3,0,South-East,Moderately Old,3, Sector 71 Gurgaon,14,1,0,0,0,,,1802,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,24,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018020917
Shree Vardhman Flora,65,4814,2,2,3,10,North,Moderately Old,2, Sector 90 Gurgaon,13,0,1,0,0,,,1350,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,47,1,1,0,0,0,1,1,0,1,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0.013502285
Krrish Provence Estate,750,7500,5,6,3,23,North-East,Relatively New,5, Gwal Pahari,26,1,0,1,0,,,10000,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,28,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
DLF The Crest,1100,35483,4,5,3,7,North-East,Relatively New,4, Sector 54 Gurgaon,36,1,1,1,0,3100,,,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,28,1,1,0,0,0,1,1,1,1,1,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.031000761
DLF Regal Gardens,126,7403,3,3,3,6,North-East,Relatively New,3, Sector 90 Gurgaon,29,0,0,0,0,1500,,1702,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,22,1,0,0,1,1,1,0,0,0,0,5,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0.017020127
DLF Regal Gardens,180,7223,4,4,3,7,South-West,Moderately Old,4, Sector 90 Gurgaon,19,0,0,0,0,,,2215,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,17,1,0,0,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024920393
MM Golfestate,590,17484,3,3,3,18,North,Relatively New,3, Sector 65 Gurgaon,40,1,1,0,0,,,3363,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,34,1,1,0,0,0,1,1,1,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.033745138
Bestech Park View City ,290,12169,4,4,3,5,South-West,Moderately Old,4, Sector 49 Gurgaon,14,1,0,0,0,,,2383,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,53,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.023831046
DLF The Skycourt,159,8242,3,3,3,17,East,Relatively New,3, Sector 86 Gurgaon,20,0,0,0,0,1548,1700,1929,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,62,0,1,0,0,0,1,0,0,1,1,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.019291434
DLF The Ultima,221,10365,3,3,3,3,South,Relatively New,3, Sector 81 Gurgaon,29,1,0,0,0,1650,,2132,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,47,1,0,0,0,0,1,1,1,1,0,5,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0.021321756
Emaar Palm Gardens,148,7789,3,3,3,7,East,Relatively New,3, Sector 83 Gurgaon,16,1,0,0,0,1240.04,,1900,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,40,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019001155
Experion The Heartsong,98,13343,2,3,3,4,East,Relatively New,2, Sector 108 Gurgaon,14,0,1,0,0,734.43,978.23,1283,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,47,1,1,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007344675
Shapoorji Pallonji Joyville Gurugram,204,14068,3,3,3,1,South,Relatively New,3, Sector 102 Gurgaon,26,0,0,0,0,1450,,1852,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,34,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.014500995
