society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,BHK,Location,Total Floors,Servant_Room,Study_Room,Pooja_Room,Store_Room,Carpet_Area,Built_Up_Area,Super_BuiltUp_Area,piped_gas,waste_disposal,shopping_centre,intercom,power_backup,central_ac,wifi,garden,community,staff,water_storage,visitor_parking,lift,vaastu,security,swimming,gym,luxury_score,Hospital,Mall,Mandir/Church,ATM,Bank,School,College,Metro Station,Airport,Hotel,AC,Wardrobe,Microwave,Fridge,Stove,Curtains,Water Purifier,TV,Modular Kitchen,Geyser,Dining Table,Washing Machine,Exhaust Fan,Chimney,Light,Sofa,Fan,Bed,furnishing_type,area
Signature Global Orchard Avenue ,,,2,2,3,11,East,Under Construction,2, Sector 93 Gurgaon,14,0,0,0,0,577.11,,,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,47,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Central Park Flower Valley,220,10476,3,3,3,12,North-East,New Property,3, Sector-33 Sohna,13,1,0,0,0,,,2100,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,28,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.021000382
Smart World Gems,101,9156,2,2,2,4,,Under Construction,2, Sector 89 Gurgaon,4,0,1,0,0,1103,,,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,17,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011031018
Bestech Altura,185,8604,3,4,3,11,North,New Property,3, Sector 79 Gurgaon,22,1,0,0,0,,,2150,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,28,1,1,0,0,0,1,1,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.021501627
Smart World Gems,86,7796,2,3,3,4,,Under Construction,2, Sector 89 Gurgaon,4,0,0,0,0,,,1103,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011031298
Emaar Imperial Gardens,185,9135,3,3,3,0,South-West,Relatively New,3, Sector 102 Gurgaon,14,1,0,0,0,2025,,,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,47,1,1,0,0,0,1,1,0,1,0,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.020251779
La Vida by Tata Housing,285,12855,3,3,3,10,East,New Property,3, Sector 113 Gurgaon,25,1,0,0,0,,,2217,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,37,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022170362
The Serenas,42,7910,2,2,1,3,,Undefined,2, Sector 36 Gurgaon,3,0,0,0,0,531,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005309735
MM Golfestate,615,18331,3,4,2,20,North-East,Undefined,3, Sector 65 Gurgaon,20,0,0,0,0,2200,3355,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033549725
Central Park Resort Belgravia Residences,625,24300,3,5,3,5,South-East,Moderately Old,3, Sector 48 Gurgaon,17,1,0,0,0,2880,,,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,28,1,1,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0.025720165
Apex builders,42,5600,2,2,2,4,North,Relatively New,2, Sector 37C Gurgaon,12,0,0,0,0,750,,,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075
Godrej Habitat,135,12784,2,2,0,4,North-East,Undefined,2, Sector 3 Gurgaon,4,0,0,0,0,912,1056,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010560075
Ompee K S Residency,160,26936,2,2,2,1,,Relatively New,2, New Palam Vihar,4,0,0,0,0,66,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005940006
Bhawna CGHS,325,10156,4,4,3,12,,Moderately Old,4, Sector 43 Gurgaon,12,0,0,1,0,3000,,3200,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,34,1,0,1,1,1,0,0,1,0,0,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0.032000788
Adani Aangan Arcade,45,7194,2,2,1,8,,New Property,2, Sector 88A Gurgaon,12,0,0,0,0,625.47,,,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,7,1,1,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.006255213
Sare Green Parc,85,6538,3,2,2,20,,Undefined,3, Sector 92 Gurgaon,20,0,0,0,0,,1300,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013000918
Shree Vardhman Flora,75,5769,2,2,3,8,North-East,Undefined,2, Sector 90 Gurgaon,8,0,0,0,0,1300,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01300052
Supertech Hues,82,6950,2,2,3,21,,Under Construction,2, Sector 68 Gurgaon,24,0,0,0,0,,,1180,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,34,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011798561
Chintels Paradiso,180,8866,3,3,2,0,East,Moderately Old,3, Sector 109 Gurgaon,11,1,0,0,0,1785,,2030,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,38,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020302278
Breez Global Hill View,29.99,5403,2,2,2,6,North-East,New Property,2, Sohna,19,0,0,0,0,555,,655,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,36,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555062
ILD Greens,78,5714,2,2,3,1,North,Moderately Old,2, Sector 37C Gurgaon,19,0,0,0,0,900,1068.1,1365,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,37,1,1,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0.013650683
Ansal Sushant Lok CI,200,15151,3,3,2,1,North,Old Property,3, Sector 43 Gurgaon,3,1,0,0,0,1320,,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,1,0,1,1,1,1,0,1,0,0,0,5,0,0,0,1,0,2,0,3,1,0,0,0,0,0,0,0,1,0.013200449
Ashiana Mulberry,74,6200,2,2,3,12,North-West,New Property,2, Sohna,17,0,0,0,0,1210,,,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,47,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.011935484
